filename,blink_count,blink_frequency,blink_duration_mean,blink_duration_variability,blink_duration_min,blink_duration_max,ibi_mean,ibi_std,ibi_min,ibi_max,blink_proportion,long_blinks_proportion,blink_intensity_mean,blink_intensity_variability,blink_intensity_max,blink_intensity_min,lips_puller_activation_frequency,lips_puller_intensity_mean,lips_puller_intensity_variability,lips_puller_intensity_min,lips_puller_intensity_max,lips_tightening_activation_frequency,lips_tightening_intensity_mean,lips_tightening_intensity_variability,lips_tightening_intensity_min,lips_tightening_intensity_max,lips_parting_activation_frequency,lips_parting_duration_mean,lips_parting_duration_variability,lips_parting_duration_min,lips_parting_duration_max,lips_parting_intensity_mean,lips_parting_intensity_variability,lips_parting_intensity_min,lips_parting_intensity_max,jaw_drop_activation_frequency,jaw_drop_duration_mean,jaw_drop_duration_variability,jaw_drop_duration_min,jaw_drop_duration_max,jaw_drop_intensity_mean,jaw_drop_intensity_variability,jaw_drop_intensity_min,jaw_drop_intensity_max,inner_brow_raiser_activation_frequency,inner_brow_raiser_intensity_mean,inner_brow_raiser_intensity_variability,inner_brow_raiser_intensity_min,inner_brow_raiser_intensity_max,upper_lid_raiser_activation_frequency,upper_lid_raiser_intensity_mean,upper_lid_raiser_intensity_variability,upper_lid_raiser_intensity_min,upper_lid_raiser_intensity_max,cheek_raiser_activation_frequency,cheek_raiser_intensity_mean,cheek_raiser_intensity_variability,cheek_raiser_intensity_min,cheek_raiser_intensity_max,lid_tightener_activation_frequency,lid_tightener_intensity_mean,lid_tightener_intensity_variability,lid_tightener_intensity_min,lid_tightener_intensity_max
2020-03-14T14-38-55-071Z74-finger_tapping,4,0.33519553072625696,0.7733333333333332,0.6607739569794062,0.13333333333333333,2.0,2.0166666666666666,1.515384073061641,0.06666666666666667,4.066666666666666,0.324022346368715,1.0,0.6977586206896551,0.5802692753730149,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.22905027932960895,0.6021951219512196,0.394262046075462,0.03,1.79,0.1787709497206704,0.5333333333333333,0.37416573867739417,0.13333333333333333,1.0,0.24843750000000003,0.31342138361904637,0.02,1.26,0.3463687150837989,1.377777777777778,0.6762277357645752,0.8666666666666667,2.3333333333333335,1.6275806451612902,0.54191126696037,0.56,2.62,0.2905027932960894,0.7996153846153846,0.6108719628963096,0.02,1.93,0.20670391061452514,0.07594594594594595,0.14178347066055527,0.05,0.52,0.0,0.0,0.0,0.0,0.0,0.4134078212290503,0.9020270270270272,0.5482899436185494,0.02,1.97
2020-04-16T15-18-34-451Z77-finger_tapping,12,0.2571428571428572,0.8388888888888889,0.7094381362288064,0.13333333333333333,2.8,3.2848484848484847,4.399181825591994,0.4,15.8,0.21571428571428572,0.8333333333333334,0.45185430463576154,0.4217335714619044,1.51,0.01,0.025714285714285714,1.097222222222222,0.10653944619140482,0.95,1.27,0.5342857142857143,1.2355882352941177,0.566512828115005,0.01,2.99,0.17,1.3222222222222222,1.4347107937589356,0.06666666666666667,3.7333333333333334,0.9490756302521008,0.5175283364003885,0.03,2.29,0.21,1.0888888888888888,0.5515410509329269,0.26666666666666666,1.9333333333333333,1.8883673469387758,0.7692435715370862,0.45,3.57,0.24,0.24940476190476193,0.19508850250469356,0.01,0.77,0.77,0.07948051948051948,0.19868646044469698,0.01,1.52,0.09428571428571429,0.6040909090909091,0.31251327244542015,0.03,1.45,0.2985714285714286,0.9114354066985646,0.48890364680141535,0.08,2.21
NIHMR963TPLWF-finger_tapping-2021-11-12T21-40-50-626Z-,6,0.5232558139534884,0.2111111111111111,0.11811273125260723,0.06666666666666667,0.4,1.7866666666666666,0.9173875952943772,0.6666666666666666,2.933333333333333,0.11046511627906976,0.5,0.3068421052631579,0.34685976403502433,1.14,0.02,0.19186046511627908,0.43121212121212116,0.11098303856213727,0.21,0.63,0.8081395348837209,0.9069064748201439,0.46933015621999297,0.03,2.14,0.21511627906976744,0.8222222222222223,0.5144816401240101,0.3333333333333333,1.5333333333333334,0.8462162162162162,0.45246455571036076,0.12,1.81,0.029069767441860465,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.024,0.1705285899783377,0.72,1.12,0.22093023255813954,0.35078947368421054,0.31465452164923696,0.03,1.27,0.6511627906976745,0.03982142857142857,0.08486324072747653,0.01,0.36,0.03488372093023256,0.49,0.09528903399657276,0.36,0.58,0.0,0.0,0.0,0.0,0.0
2018-11-26T00-58-32-851Z20-finger_tapping,2,0.29411764705882354,1.5666666666666667,1.3,0.26666666666666666,2.8666666666666667,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4607843137254902,1.0,0.9487234042553194,0.5153496787588547,2.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18627450980392157,0.4222222222222222,0.06285393610547091,0.3333333333333333,0.4666666666666667,0.5399999999999999,0.5139390365922143,0.02,1.56,0.22549019607843138,1.5333333333333334,0.0,1.5333333333333334,1.5333333333333334,2.128695652173913,0.30893224246553264,1.46,2.66,0.38235294117647056,1.163333333333333,0.4822498442516096,0.29,1.92,1.0,0.08980392156862745,0.22251924109554297,0.03,1.29,0.18627450980392157,1.0415789473684212,0.05220293285659736,0.93,1.12,0.0,0.0,0.0,0.0,0.0
2020-01-23T18-51-25-075Z91-finger_tapping,2,0.15384615384615385,1.4,0.33333333333333337,1.0666666666666667,1.7333333333333334,2.1333333333333333,0.0,2.1333333333333333,2.1333333333333333,0.21538461538461537,1.0,0.2330952380952381,0.27047824036945484,0.8,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.3577435897435899,0.60954777549911,0.15,2.99,0.31794871794871793,1.3777777777777775,1.005662977687534,0.6666666666666666,2.8,1.0056451612903226,0.24116262772036212,0.58,1.47,0.2153846153846154,1.4000000000000001,1.0666666666666669,0.3333333333333333,2.466666666666667,0.7138095238095239,0.25240262436261157,0.36,1.37,0.07692307692307693,0.2326666666666667,0.06452758730813918,0.11,0.32,0.9692307692307692,0.027566137566137572,0.05804805526093637,0.01,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-02T00-47-55-382Z3-finger_tapping,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278911564625851,0.014859813084112149,0.04207729827535753,0.01,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHLB459BLDRH-finger_tapping-2021-09-16T19-16-40-875Z-,5,0.5208333333333334,0.6533333333333333,0.436959189551305,0.06666666666666667,1.2666666666666666,1.55,1.1873172373979173,0.7333333333333333,3.6,0.3402777777777778,0.8,0.15346938775510202,0.24377714396220032,0.82,0.01,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.4666666666666666,0.11590225767142472,0.39,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763888888888889,0.2590909090909091,0.08700052246447092,0.1,0.38,0.625,0.03977777777777778,0.10142776006528084,0.05,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHGA312KVEC2-finger_tapping-2021-08-27T13-08-36-623Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.08,0.05513619500836089,0.04,0.14,0.007575757575757576,0.38,,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2020-03-02T01-00-47-030Z69-finger_tapping,4,0.15463917525773196,0.5333333333333333,0.2943920288775949,0.06666666666666667,0.8666666666666667,2.533333333333333,1.3640897113975827,0.9333333333333333,4.266666666666667,0.08247422680412371,0.75,0.503125,0.38140180742843555,1.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17268041237113402,0.8933333333333333,0.705029550208122,0.2,2.1333333333333333,0.7489552238805971,0.2842861039055774,0.22,1.36,0.07216494845360824,0.9333333333333333,0.4666666666666666,0.4666666666666667,1.4,1.3125000000000002,0.5226614583073828,0.5,2.34,0.38917525773195877,0.5904635761589404,0.4917673403122584,0.01,2.42,0.6237113402061856,0.09888429752066115,0.20108831238777927,0.01,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHDB604WURZN-finger_tapping-2019-09-06T19-54-31-043Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06284313725490195,0.17754864039161686,0.01,0.79,1.0,0.45127450980392164,0.1100195443359767,0.15,0.67,0.9607843137254902,2.287857142857143,0.3056756923047356,1.42,2.8
2020-04-10T09-38-49-346Z99-finger_tapping,3,0.24725274725274726,0.6,0.3620926830400072,0.26666666666666666,1.1333333333333333,3.0666666666666664,1.1115554667022043,2.0,4.6,0.1978021978021978,1.3333333333333333,0.43527777777777776,0.33070907466154,1.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08791208791208792,0.5333333333333333,0.06666666666666665,0.4666666666666667,0.6,0.9475,0.17620064320730125,0.61,1.36,0.23076923076923078,0.7,0.24267032964268395,0.3333333333333333,1.0,1.4245238095238095,0.3701562121192881,0.74,2.08,0.16483516483516483,1.0383333333333333,0.600006226021337,0.06,2.33,0.9505494505494505,0.07260115606936417,0.17271648834866066,0.01,1.04,0.06593406593406594,0.8300000000000001,0.05862050525510367,0.76,0.93,0.038461538461538464,1.1600000000000001,0.6217448565663143,0.28,1.87
2020-04-10T14-34-57-315Z72-finger_tapping,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.45,,0.45,0.45,1.0,0.03704545454545455,0.07353390074879611,0.01,0.33,0.0,0.0,0.0,0.0,0.0,0.9848484848484849,0.8053846153846154,0.207009544947723,0.29,1.19
2018-06-13T17-30-39-217Z46-finger_tapping,1,0.055350553505535055,0.43333333333333335,0.3666666666666667,0.06666666666666667,0.8,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.04797047970479705,1.0,0.08615384615384616,0.051403382109620886,0.16,0.04,0.014760147601476014,0.0325,0.065,0.13,0.13,0.16236162361623616,0.8956818181818181,0.2354352498480972,0.5,1.78,0.03690036900369004,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.061,0.20245438443703256,0.78,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01845018450184502,0.628,0.2108791122894821,0.32,0.86,0.12915129151291513,0.10142857142857142,0.19599133920154943,0.06,0.7,0.02214022140221402,0.9250000000000002,0.17317621083740112,0.66,1.1,0.05166051660516605,1.815,0.564783825220561,0.77,2.48
2018-10-24T19-17-31-781Z35-finger_tapping,2,0.11673151750972763,0.7666666666666666,0.16666666666666669,0.6,0.9333333333333333,3.8,0.0,3.8,3.8,0.08949416342412451,1.0,0.20478260869565218,0.2515744886115404,0.86,0.03,0.07392996108949416,0.634736842105263,0.22219532000903647,0.25,0.95,0.07392996108949416,1.3636842105263156,0.18842064425451513,0.99,1.67,0.2140077821011673,1.8333333333333335,1.0333333333333332,0.8,2.8666666666666667,0.8903636363636364,0.43089898978059743,0.07,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054474708171206226,0.3921428571428572,0.3084995591925182,0.03,0.96,0.9260700389105059,0.057100840336134454,0.11074926216919376,0.01,0.54,0.019455252918287938,1.424,0.16133815419794542,1.21,1.6,0.8715953307392996,2.321517857142857,0.4951771161527022,0.89,3.27
2018-10-24T20-35-35-974Z0-finger_tapping,0,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.043795620437956206,0.0,0.30833333333333335,0.2996942886787579,0.81,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058394160583941604,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,1.41875,0.08854982455415387,1.3,1.59,0.029197080291970802,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,1.0425,0.07410578025138577,0.95,1.12,0.0364963503649635,0.25999999999999995,0.15858751527153706,0.04,0.42,0.9927007299270073,0.0824264705882353,0.1661970999592304,0.01,0.92,0.029197080291970802,0.5725,0.024999999999999974,0.54,0.6,1.0,2.4058394160583942,0.5245469226133979,1.31,3.62
2020-01-30T14-56-15-038Z87-finger_tapping,3,0.12362637362637363,1.0333333333333334,0.5587684871413404,0.26666666666666666,1.6,6.577777777777778,4.426965630243591,2.8666666666666667,12.8,0.17032967032967036,1.3333333333333333,0.6687096774193547,0.35680037064859704,1.53,0.1,0.0521978021978022,0.21842105263157893,0.07826331323698486,0.03,0.3,0.008241758241758242,0.3233333333333333,0.07094598884597587,0.26,0.4,0.08516483516483517,0.5166666666666667,0.37527767497325676,0.13333333333333333,1.1333333333333333,0.4861290322580645,0.42226119420215763,0.04,1.45,0.038461538461538464,0.3111111111111111,0.21998877636914813,0.06666666666666667,0.6,1.3064285714285713,0.5127543592862306,0.66,2.42,0.11263736263736264,0.5760975609756098,0.3111501088605022,0.08,1.17,1.0,0.042747252747252745,0.09035974546913694,0.01,0.43,0.0,0.0,0.0,0.0,0.0,0.3873626373626374,0.2609219858156029,0.3398884285619534,0.01,1.58
2019-10-22T02-07-13-781Z42-finger_tapping,5,0.4573170731707317,0.6133333333333334,0.34871191548325386,0.3333333333333333,1.2666666666666666,1.8,1.4275075403575908,0.26666666666666666,4.133333333333334,0.2804878048780488,1.0,0.4569565217391304,0.2743871519928438,1.14,0.09,0.0,0.0,0.0,0.0,0.0,0.8597560975609756,0.970354609929078,0.5009168898095313,0.05,2.48,0.036585365853658534,0.4,0.0,0.4,0.4,0.465,0.14869431730903504,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03048780487804878,0.298,0.07328028384224505,0.23,0.4,0.7621951219512195,0.06464,0.1450169289338985,0.01,0.81,0.0,0.0,0.0,0.0,0.0,0.2682926829268293,0.4279545454545454,0.3068487965307127,0.05,1.32
2020-01-30T16-45-12-246Z69-finger_tapping,3,0.18595041322314051,0.24444444444444446,0.08314794192830981,0.13333333333333333,0.3333333333333333,2.4,0.5333333333333332,1.8666666666666667,2.933333333333333,0.04545454545454546,0.6666666666666666,0.2872727272727273,0.23315620982898608,0.64,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024793388429752067,0.2,0.0,0.2,0.2,0.7766666666666667,0.246224829508859,0.43,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028925619834710745,0.21142857142857144,0.10699354675689113,0.06,0.37,0.08264462809917356,0.18100000000000002,0.25128930695410356,0.03,0.84,0.0,0.0,0.0,0.0,0.0,0.4297520661157025,0.7831730769230769,0.3673131634515833,0.03,1.75
2020-03-29T22-29-39-660Z52-finger_tapping,4,0.2714932126696833,0.16666666666666669,0.05773502691896258,0.06666666666666667,0.2,0.6222222222222222,0.49391357268650815,0.06666666666666667,1.2666666666666666,0.04524886877828055,0.0,0.016,0.02633122354417533,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08597285067873303,0.2111111111111111,0.2122774797171422,0.06666666666666667,0.6666666666666666,0.4794736842105263,0.5333799321747901,0.01,2.29,0.07239819004524888,0.5333333333333333,0.19999999999999998,0.3333333333333333,0.7333333333333333,0.6912499999999999,0.3268409399080843,0.17,1.3,0.08144796380090498,1.4938888888888888,0.4079091434143708,0.77,2.23,0.42081447963800905,0.24301075268817207,0.2885902200361513,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.06334841628959276,2.502857142857143,0.7896194660080899,1.06,3.64
2020-04-03T16-08-42-049Z9-finger_tapping,7,0.3571428571428571,0.4571428571428572,0.35353735606229686,0.13333333333333333,1.2666666666666666,2.477777777777778,1.1772011166898386,0.7333333333333333,4.133333333333334,0.16326530612244897,0.8571428571428571,0.19770833333333335,0.26720969200900274,0.8,0.01,0.034013605442176874,1.675,0.06293735862833069,1.55,1.78,0.46598639455782315,1.4216058394160584,0.8562866424762783,0.02,3.37,0.42517006802721086,1.1904761904761905,1.9723255378387423,0.13333333333333333,6.0,0.56064,0.3382563067146836,0.01,1.54,0.12244897959183673,2.4,0.0,2.4,2.4,0.6205555555555554,0.5602649599937741,0.02,1.69,0.16326530612244897,1.389375,0.396475999380929,0.53,2.16,0.20748299319727892,0.20672131147540987,0.38064297056198393,0.01,1.54,0.034013605442176874,0.0,0.0,0.0,0.0,0.5272108843537415,1.6923870967741934,0.877500200814694,0.03,3.26
2020-01-23T19-28-54-722Z62-finger_tapping,1,0.09146341463414634,0.5333333333333333,0.1333333333333333,0.4,0.6666666666666666,0.8,0.0,0.8,0.8,0.0975609756097561,2.0,0.461875,0.2612334524264966,0.9,0.09,0.0,0.0,0.0,0.0,0.0,0.6829268292682927,0.3517857142857143,0.15219247110993456,0.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536585365853659,0.612857142857143,0.09762003037118117,0.46,0.79,0.0,0.0,0.0,0.0,0.0
2020-04-03T16-02-16-853Z27-finger_tapping,5,0.460122699386503,0.6133333333333334,0.3461534662865912,0.06666666666666667,1.0,0.6166666666666667,0.2881936077631764,0.3333333333333333,1.0666666666666667,0.2822085889570552,0.8,0.09130434782608696,0.13781805551204374,0.61,0.02,0.0,0.0,0.0,0.0,0.0,0.7607361963190185,1.9259677419354835,0.382090780842218,1.11,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147239263803681,0.5875,0.1080358233663019,0.38,0.82,0.32515337423312884,0.12245283018867925,0.10043952754647482,0.01,0.33,0.0,0.0,0.0,0.0,0.0,0.049079754601226995,0.4725,0.13274572901388795,0.33,0.68
2020-03-13T16-25-18-584Z61-finger_tapping,4,0.3468208092485549,0.9333333333333333,0.5830951894845301,0.13333333333333333,1.7333333333333334,2.5777777777777775,1.4609315479016531,1.2,4.6,0.3236994219653179,0.75,0.17232142857142857,0.2424420535935326,0.87,0.01,0.0,0.0,0.0,0.0,0.0,0.16184971098265896,1.4385714285714286,0.34979056470042064,0.64,1.95,0.028901734104046242,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.42400000000000004,0.6695744917483043,0.08,1.57,0.23121387283236994,0.8888888888888888,0.2793290019994785,0.6,1.2666666666666666,1.66025,0.5921602672007655,0.03,2.43,0.4046242774566474,0.6768571428571428,0.5339096782354273,0.02,2.07,0.5895953757225434,0.3076470588235294,0.6264202500276704,0.04,2.49,0.08092485549132948,0.8392857142857143,0.3298126341218202,0.38,1.3,0.6763005780346821,2.603076923076923,1.1527780998440709,0.26,4.39
NIHWN913TPDDD-finger_tapping-2021-08-27T14-08-20-464Z-,2,0.2777777777777778,0.16666666666666666,0.1,0.06666666666666667,0.26666666666666666,2.6666666666666665,0.0,2.6666666666666665,2.6666666666666665,0.046296296296296294,0.5,0.048,0.010954451150103323,0.06,0.03,0.6574074074074074,1.2577464788732393,0.3249184389223091,0.41,1.62,0.5185185185185185,1.0316071428571427,0.5016908747089524,0.07,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.1019999999999999,0.3274751898999373,0.3,1.53,0.08333333333333333,1.1044444444444443,1.0510246323363586,0.03,2.27,0.046296296296296294,0.4619999999999999,0.2104043725781382,0.12,0.69,0.6481481481481481,1.5251428571428571,0.40279366047550275,0.51,2.06,0.6574074074074074,2.320140845070423,0.4391468773420525,1.07,3.14
NIHEX043WFAEF-finger_tapping-2021-02-01T16-38-52-187Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04113821138211383,0.0902928137586086,0.02,0.4,0.016260162601626018,0.14500000000000002,0.03535533905932739,0.12,0.17,0.016260162601626018,1.1949999999999998,0.021213203435596444,1.18,1.21
