filename,blink_count,blink_frequency,blink_duration_mean,blink_duration_variability,blink_duration_min,blink_duration_max,ibi_mean,ibi_std,ibi_min,ibi_max,blink_proportion,long_blinks_proportion,blink_intensity_mean,blink_intensity_variability,blink_intensity_max,blink_intensity_min,lips_puller_activation_frequency,lips_puller_intensity_mean,lips_puller_intensity_variability,lips_puller_intensity_min,lips_puller_intensity_max,lips_tightening_activation_frequency,lips_tightening_intensity_mean,lips_tightening_intensity_variability,lips_tightening_intensity_min,lips_tightening_intensity_max,lips_parting_activation_frequency,lips_parting_duration_mean,lips_parting_duration_variability,lips_parting_duration_min,lips_parting_duration_max,lips_parting_intensity_mean,lips_parting_intensity_variability,lips_parting_intensity_min,lips_parting_intensity_max,jaw_drop_activation_frequency,jaw_drop_duration_mean,jaw_drop_duration_variability,jaw_drop_duration_min,jaw_drop_duration_max,jaw_drop_intensity_mean,jaw_drop_intensity_variability,jaw_drop_intensity_min,jaw_drop_intensity_max,inner_brow_raiser_activation_frequency,inner_brow_raiser_intensity_mean,inner_brow_raiser_intensity_variability,inner_brow_raiser_intensity_min,inner_brow_raiser_intensity_max,upper_lid_raiser_activation_frequency,upper_lid_raiser_intensity_mean,upper_lid_raiser_intensity_variability,upper_lid_raiser_intensity_min,upper_lid_raiser_intensity_max,cheek_raiser_activation_frequency,cheek_raiser_intensity_mean,cheek_raiser_intensity_variability,cheek_raiser_intensity_min,cheek_raiser_intensity_max,lid_tightener_activation_frequency,lid_tightener_intensity_mean,lid_tightener_intensity_variability,lid_tightener_intensity_min,lid_tightener_intensity_max
NIHXB175YAG57-ooooo-2022-01-06T15-16-43-093Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8179723502304147,1.2270704225352114,0.3702394752561598,0.01,1.61,0.7672811059907834,1.0482582582582582,0.3604974382451207,0.05,1.68,0.027649769585253458,0.26666666666666666,0.05443310539518172,0.2,0.3333333333333333,1.1075000000000002,0.41446844380373626,0.39,1.53,0.0967741935483871,0.7,0.2516611478423583,0.5333333333333333,1.1333333333333333,2.1480952380952383,0.684016966325159,1.01,3.55,0.0944700460829493,1.265609756097561,0.6352639167325963,0.27,2.37,0.5783410138248848,0.04199203187250997,0.11551283883731253,0.01,0.69,0.08294930875576037,0.9419444444444446,0.3183692325806127,0.5,1.59,0.4032258064516129,0.7132571428571428,0.3479301970270534,0.05,1.38
2023-01-10T17%3A36%3A21.734Z_PHXQHWOgH9gsg6qg87LpXY1oqYk2_ooooo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.4,0.0,0.4,0.4,0.5883333333333333,0.19030676989184245,0.32,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.5308333333333334,0.09727732925959053,0.31,0.66,0.9946236559139785,0.03551351351351351,0.07320222942287663,0.01,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHDB604WURZN-ooooo-2020-02-07T18-24-18-755Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11684782608695653,0.7166666666666667,0.8632947224313247,0.13333333333333333,2.2,0.6358139534883721,0.2906170164956879,0.1,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994565217391305,0.03447129909365559,0.09043970831680252,0.01,0.85,0.002717391304347826,0.0,,0.0,0.0,0.654891304347826,1.1435269709543567,0.43744286329135224,0.12,2.37
2022-01-26T21%3A34%3A56.522Z_Tgmi3nhgdoOl8YnOMdaIyBQsJne2_ooooo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.8852380952380953,0.29552697081009455,0.24,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9744897959183674,0.033036649214659694,0.09742578129166887,0.01,0.59,0.03571428571428571,0.4614285714285714,0.11111984092689768,0.3,0.57,1.0,0.532295918367347,0.3136588612075611,0.03,1.66
2022-01-10T17%3A22%3A19.877Z_uwhaHg9PkmhWVOo443NzTDGjugg2_ooooo,1,0.05639097744360902,0.8666666666666666,0.5999999999999999,0.26666666666666666,1.4666666666666666,3.0,0.0,3.0,3.0,0.09774436090225562,2.0,0.08884615384615382,0.07339356500821707,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.665,0.10606601717798214,0.59,0.74,0.022556390977443608,0.4,0.0,0.4,0.4,0.6883333333333334,0.0919601362910401,0.58,0.8,0.06390977443609022,0.5729411764705883,0.2634806611945731,0.26,1.03,0.9924812030075187,0.047537878787878796,0.11730334439123767,0.01,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31T17-10-26-687Z42-ooooo,1,0.05263157894736842,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,0.03859649122807017,1.0,0.03727272727272727,0.09317627477967866,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22105263157894736,4.2,0.0,4.2,4.2,0.5425396825396827,0.3792946265404748,0.03,1.45,0.14385964912280702,1.3666666666666667,0.3666666666666667,1.0,1.7333333333333334,0.6321951219512195,0.30612507407203643,0.22,1.26,0.0,0.0,0.0,0.0,0.0,0.9859649122807017,0.039537366548042706,0.09420418283197535,0.01,0.44,0.0,0.0,0.0,0.0,0.0,0.6736842105263158,0.9763020833333332,0.20489653217211987,0.48,1.63
2020-04-12T17-26-42-217Z96-ooooo,4,0.2631578947368421,0.41666666666666663,0.12801909579781012,0.26666666666666666,0.6,4.488888888888889,2.797529774552216,1.3333333333333333,8.133333333333333,0.10964912280701754,1.0,0.698,0.2545093318524883,1.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19298245614035087,2.933333333333333,0.0,2.933333333333333,2.933333333333333,0.5656818181818183,0.43864695624143235,0.01,1.37,0.07894736842105263,1.2,0.0,1.2,1.2,0.9083333333333334,0.15621440771091058,0.57,1.13,0.03070175438596491,0.55,0.24200550957915537,0.26,0.89,0.9210526315789473,0.06347619047619048,0.16729715105454798,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.9342105263157895,0.3391079812206574,0.3060547068222856,0.01,1.34
NIHRH896FYACQ-ooooo-2021-12-13T14-24-59-687Z-,2,0.08241758241758242,0.3,0.033333333333333326,0.26666666666666666,0.3333333333333333,12.2,0.0,12.2,12.2,0.024725274725274724,1.0,0.5544444444444444,0.17335737012823477,0.78,0.27,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3776923076923077,0.3576481751590104,0.01,1.2,0.04395604395604396,1.0666666666666667,0.0,1.0666666666666667,1.0666666666666667,0.276875,0.1776783141898114,0.04,0.58,0.027472527472527472,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.36,0.09695359714832658,0.18,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.032884615384615394,0.07887764968234547,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.06868131868131869,1.1920000000000002,0.24286484581621387,0.59,1.59
2021-11-22T16%3A56%3A14.746Z_fCeWPVkGmITMdigvTtYTNMwkrwj2_ooooo,4,0.1935483870967742,1.5833333333333335,0.6998015591739006,0.4,2.1333333333333333,3.244444444444444,3.3981839739760495,0.26666666666666666,8.0,0.3064516129032258,1.0,0.40757894736842104,0.4021054053340744,1.21,0.02,0.17419354838709677,1.2724074074074077,0.4335284595353734,0.44,1.81,0.8225806451612904,0.8092156862745097,0.35458661268398767,0.07,2.07,0.08064516129032258,0.8333333333333333,0.3,0.5333333333333333,1.1333333333333333,1.2172,0.4707929481205087,0.41,1.7,0.12580645161290321,0.6500000000000001,0.18484227510682363,0.4666666666666667,0.8666666666666667,1.1725641025641027,0.49111429663742573,0.11,2.1,0.1870967741935484,1.1734482758620688,0.5827116036832891,0.19,2.11,0.42258064516129035,0.21748091603053438,0.3678489311816226,0.02,1.33,0.13548387096774195,1.773095238095238,0.2708567085418728,1.22,2.17,0.13548387096774195,2.065238095238095,0.2540428050664681,1.58,2.57
2020-03-11T18-52-16-524Z59-ooooo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
