filename,blink_count,blink_frequency,blink_duration_mean,blink_duration_variability,blink_duration_min,blink_duration_max,ibi_mean,ibi_std,ibi_min,ibi_max,blink_proportion,long_blinks_proportion,blink_intensity_mean,blink_intensity_variability,blink_intensity_max,blink_intensity_min,lips_puller_activation_frequency,lips_puller_intensity_mean,lips_puller_intensity_variability,lips_puller_intensity_min,lips_puller_intensity_max,lips_tightening_activation_frequency,lips_tightening_intensity_mean,lips_tightening_intensity_variability,lips_tightening_intensity_min,lips_tightening_intensity_max,lips_parting_activation_frequency,lips_parting_duration_mean,lips_parting_duration_variability,lips_parting_duration_min,lips_parting_duration_max,lips_parting_intensity_mean,lips_parting_intensity_variability,lips_parting_intensity_min,lips_parting_intensity_max,jaw_drop_activation_frequency,jaw_drop_duration_mean,jaw_drop_duration_variability,jaw_drop_duration_min,jaw_drop_duration_max,jaw_drop_intensity_mean,jaw_drop_intensity_variability,jaw_drop_intensity_min,jaw_drop_intensity_max,inner_brow_raiser_activation_frequency,inner_brow_raiser_intensity_mean,inner_brow_raiser_intensity_variability,inner_brow_raiser_intensity_min,inner_brow_raiser_intensity_max,upper_lid_raiser_activation_frequency,upper_lid_raiser_intensity_mean,upper_lid_raiser_intensity_variability,upper_lid_raiser_intensity_min,upper_lid_raiser_intensity_max,cheek_raiser_activation_frequency,cheek_raiser_intensity_mean,cheek_raiser_intensity_variability,cheek_raiser_intensity_min,cheek_raiser_intensity_max,lid_tightener_activation_frequency,lid_tightener_intensity_mean,lid_tightener_intensity_variability,lid_tightener_intensity_min,lid_tightener_intensity_max
2022-11-14T19%3A40%3A27.918Z_pTVDr16JdWbkfgTVz6AHWLjUA3r2_open_fist_left,2,0.22556390977443608,1.2666666666666666,0.8666666666666666,0.4,2.1333333333333333,4.733333333333333,0.0,4.733333333333333,4.733333333333333,0.2857142857142857,1.0,0.3228947368421053,0.5891629788498477,1.9,0.16,0.14285714285714285,0.8463157894736844,0.1181435344690606,0.63,1.06,0.20300751879699247,0.8462962962962962,0.32555453458023736,0.4,1.72,0.045112781954887216,0.4,0.0,0.4,0.4,0.01,0.015491933384829668,0.03,0.03,0.08270676691729323,0.3666666666666667,0.033333333333333354,0.3333333333333333,0.4,0.47454545454545444,0.4025012704666567,0.06,1.02,0.13533834586466165,0.6922222222222223,0.08728287720735822,0.57,0.89,0.8646616541353384,0.046695652173913055,0.08106442899075549,0.01,0.29,0.015037593984962405,1.06,0.028284271247461926,1.04,1.08,0.0,0.0,0.0,0.0,0.0
2024-05-27T00%3A06%3A17.046Z_J7uaam8q33bOntdwOdl5KGsuDGr2_open_fist_left,1,0.11029411764705882,1.0666666666666667,0.0,1.0666666666666667,1.0666666666666667,0.0,0.0,0.0,0.0,0.11764705882352941,1.0,0.53125,0.12976260375521653,0.74,0.22,0.0,0.0,0.0,0.0,0.0,0.5955882352941176,1.0271604938271603,0.18652234831181247,0.51,1.42,0.23529411764705882,2.1333333333333333,0.0,2.1333333333333333,2.1333333333333333,0.5053125,0.3448794494854968,0.07,1.23,0.33088235294117646,3.0,0.0,3.0,3.0,0.16444444444444442,0.13000971214692097,0.02,0.51,0.029411764705882353,1.1275,0.24944939366532842,0.84,1.41,0.6985294117647058,0.1385263157894737,0.23144765697049796,0.04,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26T12%3A55%3A18.134Z_nZNHW91i81blseTlr2H9r92WFRI2_open_fist_left,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.72,0.28284271247461906,0.52,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.41,0.1442220510185596,0.25,0.53,1.0,0.02702970297029703,0.04738237128839053,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23T22%3A00%3A56.112Z_XU1rSQp9hdP0vBUjC1AnFTmuh7z1_open_fist_left,0,0.0,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,0.10784313725490195,0.0,0.3472727272727273,0.22755618686781115,0.6,0.14,0.00980392156862745,0.12,,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.2,0.0,0.2,0.2,1.51,0.20999999999999996,1.3,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.2,0.021602468994692873,0.18,0.23,1.0,0.02196078431372549,0.043075784373343244,0.01,0.17,0.0196078431372549,0.275,0.04949747468305833,0.24,0.31,1.0,1.0269607843137254,0.39848423007092815,0.21,2.89
2024-04-18T15%3A07%3A52.843Z_Jx1WfNhlX3PVFdZCvO9Pnf0a3Gv2_open_fist_left,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.595,0.134350288425444,0.5,0.69,0.019417475728155338,0.33999999999999997,0.07071067811865478,0.29,0.39,0.9902912621359223,0.02676470588235294,0.057508703856195276,0.01,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23T19%3A31%3A34.403Z_fLn9w1msuPP3gv0hVV5JgjU8snJ3_open_fist_left,1,0.125,2.6,0.0,2.6,2.6,0.0,0.0,0.0,0.0,0.325,1.0,0.18897435897435896,0.33623139644717154,1.2,0.13,0.0,0.0,0.0,0.0,0.0,0.7166666666666667,1.445232558139535,0.3176336281803707,0.85,2.29,0.175,1.4,0.0,1.4,1.4,0.5576190476190476,0.2776131258046845,0.04,0.83,0.275,1.0999999999999999,0.36666666666666664,0.7333333333333333,1.4666666666666666,1.257272727272727,0.3145957001382163,0.78,1.8,0.058333333333333334,0.048571428571428585,0.0656832224718437,0.03,0.19,1.0,0.03941666666666667,0.10666286976785709,0.01,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02T18%3A10%3A54.695Z_p1hkv41HcsMl4ULWqy7oJa6diG03_open_fist_left,0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.125,0.0,0.026000000000000002,0.047888759989514584,0.12,0.03,0.975,1.189102564102564,0.29392191691007535,0.39,1.62,0.95,1.389342105263158,0.4557084902327094,0.54,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04125,0.06506812398935188,0.02,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08T17%3A07%3A38.997Z_6M0zNJEx7kZfoXhj9QhJeuo1hrC2_open_fist_left,3,0.2616279069767442,1.4222222222222223,0.8714965133834479,0.3333333333333333,2.466666666666667,0.9666666666666666,0.4333333333333333,0.5333333333333333,1.4,0.37209302325581395,1.0,0.66140625,0.30878084480590373,1.18,0.04,0.0,0.0,0.0,0.0,0.0,0.05232558139534884,1.5333333333333332,0.6212487424534555,0.44,2.5,0.29069767441860467,0.41666666666666663,0.14813657362192648,0.26666666666666666,0.6666666666666666,0.7628,0.44539842287781034,0.11,1.85,0.13953488372093023,1.6,0.0,1.6,1.6,0.5525,0.4981552927071778,0.03,1.68,0.5406976744186046,0.3886021505376344,0.28789563099003607,0.02,1.24,0.9127906976744186,0.09757961783439491,0.21505932775329506,0.02,1.01,0.6395348837209303,1.235909090909091,0.36957772941795985,0.06,2.19,0.7790697674418605,2.3492537313432837,0.6549644160289686,0.3,3.43
2022-08-18T21%3A11%3A49.881Z_oKjzLBTIF1XrfW7Io9clRIdp5Jj2_open_fist_left,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4276315789473684,0.21892307692307691,0.1934321835046707,0.03,0.72,0.14473684210526316,0.7333333333333333,0.4,0.3333333333333333,1.1333333333333333,1.2463636363636363,0.5729335160843829,0.4,2.35,0.1118421052631579,0.5666666666666667,0.30000000000000004,0.26666666666666666,0.8666666666666667,1.8105882352941176,0.5718770692665873,0.73,2.57,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0575,0.04432026302139591,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.4,,0.4,0.4
2022-10-06T16%3A41%3A53.104Z_gLLoSHz3bcWvjtnqUikyBTaOAak1_open_fist_left,3,0.27777777777777773,0.6,0.42513614377131087,0.26666666666666666,1.2,1.0333333333333332,0.3,0.7333333333333333,1.3333333333333333,0.16666666666666663,1.0,0.030370370370370374,0.03867830652977708,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.8580246913580247,0.9362589928057553,0.6622538081050972,0.01,2.67,0.13580246913580246,0.29333333333333333,0.05333333333333332,0.2,0.3333333333333333,0.5518181818181818,0.3717351382194223,0.12,1.03,0.11728395061728394,0.4222222222222222,0.174977952755818,0.26666666666666666,0.6666666666666666,0.3389473684210526,0.3415633134223045,0.02,1.06,0.2839506172839506,0.8256521739130436,0.3662582705864086,0.06,1.37,0.06172839506172839,0.20600000000000002,0.28968181778557583,0.12,0.89,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.8633333333333333,0.6561605494592514,0.13,1.57
