filename,blink_count,blink_frequency,blink_duration_mean,blink_duration_variability,blink_duration_min,blink_duration_max,ibi_mean,ibi_std,ibi_min,ibi_max,blink_proportion,long_blinks_proportion,blink_intensity_mean,blink_intensity_variability,blink_intensity_max,blink_intensity_min,lips_puller_activation_frequency,lips_puller_intensity_mean,lips_puller_intensity_variability,lips_puller_intensity_min,lips_puller_intensity_max,lips_tightening_activation_frequency,lips_tightening_intensity_mean,lips_tightening_intensity_variability,lips_tightening_intensity_min,lips_tightening_intensity_max,lips_parting_activation_frequency,lips_parting_duration_mean,lips_parting_duration_variability,lips_parting_duration_min,lips_parting_duration_max,lips_parting_intensity_mean,lips_parting_intensity_variability,lips_parting_intensity_min,lips_parting_intensity_max,jaw_drop_activation_frequency,jaw_drop_duration_mean,jaw_drop_duration_variability,jaw_drop_duration_min,jaw_drop_duration_max,jaw_drop_intensity_mean,jaw_drop_intensity_variability,jaw_drop_intensity_min,jaw_drop_intensity_max,inner_brow_raiser_activation_frequency,inner_brow_raiser_intensity_mean,inner_brow_raiser_intensity_variability,inner_brow_raiser_intensity_min,inner_brow_raiser_intensity_max,upper_lid_raiser_activation_frequency,upper_lid_raiser_intensity_mean,upper_lid_raiser_intensity_variability,upper_lid_raiser_intensity_min,upper_lid_raiser_intensity_max,cheek_raiser_activation_frequency,cheek_raiser_intensity_mean,cheek_raiser_intensity_variability,cheek_raiser_intensity_min,cheek_raiser_intensity_max,lid_tightener_activation_frequency,lid_tightener_intensity_mean,lid_tightener_intensity_variability,lid_tightener_intensity_min,lid_tightener_intensity_max
2020-02-04T15-55-02-913Z38-quick_brown_fox,2,0.18292682926829268,0.4222222222222222,0.2793290019994786,0.13333333333333333,0.8,4.833333333333334,4.566666666666667,0.26666666666666666,9.4,0.11585365853658536,1.0,0.8473684210526317,0.4046101292913293,1.47,0.47,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.8725,0.09394147114027969,0.75,0.96,0.07926829268292683,0.2888888888888889,0.26851213274654606,0.06666666666666667,0.6666666666666666,0.24153846153846154,0.3420488793980122,0.04,1.12,0.13414634146341464,0.36666666666666664,0.22360679774997894,0.13333333333333333,0.7333333333333333,0.8649999999999999,0.22189122174100148,0.48,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.04176829268292683,0.08615107272713733,0.01,0.52,0.0,0.0,0.0,0.0,0.0,0.3475609756097561,0.0019298245614035089,0.014569855927715496,0.11,0.11
2020-02-28T17-39-20-038Z93-quick_brown_fox,3,0.1875,0.3333333333333333,0.054433105395181744,0.26666666666666666,0.4,0.7,0.16666666666666669,0.5333333333333333,0.8666666666666667,0.0625,1.0,0.052000000000000005,0.05143650732421755,0.17,0.06,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.85,,0.85,0.85,0.1875,0.5,0.2574806716945882,0.13333333333333333,0.8666666666666667,0.5813333333333333,0.28242939584321536,0.07,1.19,0.1875,0.6,0.3771236166328253,0.13333333333333333,1.2,0.9233333333333335,0.38679921970401693,0.29,1.81,0.1625,1.623076923076923,0.3836332805259802,0.81,2.18,0.6708333333333333,0.050310559006211175,0.08242741018805919,0.01,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHZB051YHETP-quick_brown_fox-2021-11-02T19-00-40-229Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3790849673202614,0.009482758620689657,0.0228973616646956,0.01,0.11,0.21568627450980393,0.5499999999999999,0.15898986690282427,0.3333333333333333,0.7333333333333333,1.2606060606060607,0.29368285821974904,0.63,1.73,0.0784313725490196,0.4,0.13333333333333333,0.26666666666666666,0.5333333333333333,1.0791666666666668,0.19052360070144175,0.74,1.38,0.0,0.0,0.0,0.0,0.0,0.9673202614379085,0.05344594594594595,0.13477980448768484,0.01,0.68,0.17647058823529413,0.715925925925926,0.08815455218662885,0.42,0.83,0.12418300653594772,1.373157894736842,0.24106367604106754,0.8,1.66
2024-01-08T01%3A35%3A18.814Z_J7uaam8q33bOntdwOdl5KGsuDGr2_quick_brown_fox,2,0.12552301255230125,1.1666666666666667,0.8333333333333334,0.3333333333333333,2.0,4.6,0.0,4.6,4.6,0.14644351464435146,1.0,0.9679999999999999,0.4378006529971213,1.66,0.39,0.0,0.0,0.0,0.0,0.0,0.8786610878661087,0.989,0.28157018722678756,0.31,1.71,0.2510460251046025,0.5714285714285714,0.4519546863887494,0.13333333333333333,1.5333333333333334,0.8171666666666667,0.30201072866040485,0.06,1.4,0.17154811715481172,0.5466666666666666,0.36612080580655953,0.06666666666666667,1.0,0.6536585365853658,0.4220945160598571,0.14,1.38,0.02092050209205021,0.016,0.021908902300206645,0.04,0.04,0.9330543933054394,0.049147982062780274,0.10283236854553328,0.01,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30T15-33-38-575Z96-quick_brown_fox,3,0.2368421052631579,0.6888888888888888,0.41216082202203125,0.3333333333333333,1.2666666666666666,2.033333333333333,0.6333333333333333,1.4,2.6666666666666665,0.16315789473684209,1.0,0.21903225806451612,0.2515996136551045,0.84,0.01,0.0,0.0,0.0,0.0,0.0,0.29473684210526313,0.4496428571428571,0.2281703054993973,0.05,0.82,0.2631578947368421,0.2777777777777778,0.19969111950679364,0.06666666666666667,0.6666666666666666,1.1454,0.6842609897113939,0.01,2.73,0.16842105263157894,0.30476190476190484,0.2825218471274538,0.06666666666666667,0.9333333333333333,1.5121875,0.5992561753621546,0.42,2.75,0.19473684210526315,0.6027027027027028,0.24809998710923709,0.19,0.94,1.0,0.056105263157894734,0.10359459789435621,0.01,0.47,0.11578947368421053,0.7786363636363636,0.12892579831772022,0.53,0.96,1.0,0.7857368421052633,0.40569651937284934,0.02,1.81
NIHHG558EJJMM-quick_brown_fox-2021-02-12T19-14-10-445Z-,1,0.08982035928143713,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.43,,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.03592814371257485,0.11166666666666668,0.08908797150382684,0.14,0.2,0.08383233532934131,0.3111111111111111,0.03142696805273544,0.26666666666666666,0.3333333333333333,0.155,0.1253763565000625,0.01,0.32,0.023952095808383235,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.029940119760479042,0.454,0.11058933040759406,0.3,0.55,0.16167664670658682,0.06407407407407407,0.11341751524139806,0.06,0.39,0.0,0.0,0.0,0.0,0.0,0.46706586826347307,1.4023076923076925,0.3515454675916271,0.3,1.99
2022-04-01T19%3A40%3A26.504Z_NIHTN717JDEYY_quick_brown_fox,1,0.08152173913043478,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.021739130434782608,1.0,0.9624999999999999,0.14818344486930163,1.11,0.83,0.0,0.0,0.0,0.0,0.0,0.41304347826086957,0.1882894736842105,0.28331084534080114,0.03,1.29,0.08695652173913043,0.26666666666666666,0.16996731711975951,0.06666666666666667,0.4666666666666667,0.43124999999999997,0.19588687211415334,0.04,0.66,0.043478260869565216,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,1.14125,0.9183126996212753,0.08,2.49,0.11956521739130435,0.6231818181818182,0.17133610421058545,0.3,0.96,0.7391304347826086,0.030367647058823534,0.10153202806657392,0.01,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-25T21%3A38%3A40.068Z_XVBa44QtqbeYMBhalMoNv11GN9Z2_quick_brown_fox,3,0.25,0.24444444444444444,0.08314794192830981,0.13333333333333333,0.3333333333333333,1.3666666666666667,1.2333333333333334,0.13333333333333333,2.6,0.06111111111111111,0.6666666666666666,0.21454545454545454,0.18272184523825477,0.56,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.38888888888888884,0.11811273125260721,0.26666666666666666,0.6,0.793142857142857,0.32641341008867003,0.12,1.51,0.07222222222222222,0.21666666666666667,0.08660254037844387,0.06666666666666667,0.26666666666666666,1.2115384615384615,0.39803362826621724,0.36,1.79,0.1111111111111111,1.4345,0.3601823368649186,0.85,1.95,1.0,0.07511111111111111,0.17158638357017572,0.01,0.91,0.0,0.0,0.0,0.0,0.0,0.4222222222222222,0.2618421052631579,0.24245802675276004,0.01,0.88
2022-08-15T18%3A02%3A33.273Z_fIZkTaUJCvOkE5uC4hZ06JCmebt1_quick_brown_fox,4,0.16129032258064516,1.1333333333333333,1.3190905958272918,0.13333333333333333,3.4,1.4666666666666668,1.7913371790059205,0.2,4.0,0.18279569892473116,0.75,0.15999999999999998,0.23267426465519525,1.19,0.01,0.0456989247311828,0.7652941176470588,0.24604668375784966,0.46,1.17,0.11559139784946236,0.7648837209302326,0.17545006199056098,0.32,1.02,0.271505376344086,0.6121212121212122,0.27970862446580186,0.26666666666666666,1.0666666666666667,0.74990099009901,0.31562476154289587,0.04,1.49,0.24193548387096775,1.2000000000000002,0.570379990298865,0.4,1.9333333333333333,1.3387777777777776,0.48822500747871417,0.44,2.18,0.22311827956989247,0.7857831325301204,0.34168563672792146,0.05,1.26,0.19623655913978494,0.14383561643835618,0.14298047785339152,0.01,0.49,0.3736559139784946,1.6317266187050359,0.23129731183094876,1.14,2.05,0.9838709677419355,1.299590163934426,0.40409967075337605,0.04,2.17
2022-03-31T16%3A37%3A39.322Z_iNKq4kwHlmb1UE0uuAIwFITinFJ2_quick_brown_fox,1,0.06666666666666667,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.03111111111111111,1.0,0.04428571428571428,0.0382348631736111,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19555555555555557,0.7333333333333334,0.71336448530109,0.13333333333333333,1.9333333333333333,0.5334090909090909,0.252411100461853,0.03,0.97,0.09333333333333334,0.35,0.15184055965240498,0.2,0.6,1.3033333333333332,0.40933279044480825,0.81,2.12,0.10666666666666667,1.1325,0.18496180569300624,0.81,1.44,1.0,0.034355555555555556,0.0719229360507394,0.01,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
