filename,blink_count,blink_frequency,blink_duration_mean,blink_duration_variability,blink_duration_min,blink_duration_max,ibi_mean,ibi_std,ibi_min,ibi_max,blink_proportion,long_blinks_proportion,blink_intensity_mean,blink_intensity_variability,blink_intensity_max,blink_intensity_min,lips_puller_activation_frequency,lips_puller_intensity_mean,lips_puller_intensity_variability,lips_puller_intensity_min,lips_puller_intensity_max,lips_tightening_activation_frequency,lips_tightening_intensity_mean,lips_tightening_intensity_variability,lips_tightening_intensity_min,lips_tightening_intensity_max,lips_parting_activation_frequency,lips_parting_duration_mean,lips_parting_duration_variability,lips_parting_duration_min,lips_parting_duration_max,lips_parting_intensity_mean,lips_parting_intensity_variability,lips_parting_intensity_min,lips_parting_intensity_max,jaw_drop_activation_frequency,jaw_drop_duration_mean,jaw_drop_duration_variability,jaw_drop_duration_min,jaw_drop_duration_max,jaw_drop_intensity_mean,jaw_drop_intensity_variability,jaw_drop_intensity_min,jaw_drop_intensity_max,inner_brow_raiser_activation_frequency,inner_brow_raiser_intensity_mean,inner_brow_raiser_intensity_variability,inner_brow_raiser_intensity_min,inner_brow_raiser_intensity_max,upper_lid_raiser_activation_frequency,upper_lid_raiser_intensity_mean,upper_lid_raiser_intensity_variability,upper_lid_raiser_intensity_min,upper_lid_raiser_intensity_max,cheek_raiser_activation_frequency,cheek_raiser_intensity_mean,cheek_raiser_intensity_variability,cheek_raiser_intensity_min,cheek_raiser_intensity_max,lid_tightener_activation_frequency,lid_tightener_intensity_mean,lid_tightener_intensity_variability,lid_tightener_intensity_min,lid_tightener_intensity_max
2020-03-27T17-39-34-947Z75-reverse_count,5,0.13837638376383765,0.16,0.09043106644167025,0.06666666666666667,0.26666666666666666,4.0,3.3259919155377125,0.2,8.333333333333334,0.022140221402214024,0.4,0.47333333333333333,0.38565960811748656,1.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2988929889298893,0.6352941176470589,0.28844196938718886,0.2,1.0666666666666667,1.25858024691358,0.4642925123224544,0.16,2.34,0.25461254612546125,0.4842105263157894,0.18836583202062523,0.2,0.9333333333333333,1.3560144927536233,0.4471704060547841,0.29,2.14,0.11808118081180811,0.49734375,0.18901786417212127,0.18,0.98,0.04059040590405904,0.6195454545454546,0.3989089557510021,0.05,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07T05-05-01-181Z58-reverse_count,7,0.3181818181818182,0.47619047619047616,0.26530263385112607,0.26666666666666666,1.0666666666666667,2.6888888888888887,1.2641300136291458,0.9333333333333333,5.066666666666666,0.1515151515151515,1.0,0.5501999999999999,0.27350700472319356,1.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19696969696969696,0.48148148148148145,0.13618352822852026,0.26666666666666666,0.6666666666666666,1.0327692307692309,0.23259747749806214,0.67,1.58,0.10303030303030303,0.37777777777777777,0.13698697784375502,0.26666666666666666,0.6,1.2061764705882354,0.48492432840400457,0.24,2.11,0.06060606060606061,0.24799999999999994,0.18127037090606135,0.02,0.66,0.996969696969697,0.050486322188449846,0.10563285168464409,0.01,0.56,0.3303030303030303,0.10119266055045871,0.09144645033552173,0.01,0.32,0.7151515151515152,0.6064830508474576,0.26295198924456537,0.05,1.22
2023-03-03T14%3A24%3A43.001Z_NIHWG538AYTAK_reverse_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7988338192419825,0.5967153284671532,0.16694457192088558,0.22,1.01,0.9125364431486881,0.5831629392971246,0.2906335293211914,0.01,1.41,0.04081632653061224,0.23333333333333334,0.12018504251546633,0.06666666666666667,0.4,0.7407142857142858,0.2334511738018264,0.37,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09620991253644315,0.2103030303030303,0.13796477921205216,0.04,0.46,0.011661807580174927,0.4175,0.18945096111307183,0.3,0.7,0.892128279883382,1.4091503267973857,0.1509660594248042,0.98,1.74,0.9883381924198251,1.5728023598820058,0.35061078471900775,0.55,2.47
2020-03-02T21-09-39-477Z66-reverse_count,12,0.4724409448818898,0.48888888888888893,0.33259176771323923,0.06666666666666667,1.3333333333333333,1.6484848484848484,1.2210579645539907,0.2,4.133333333333334,0.23097112860892388,0.9166666666666666,0.6470454545454545,0.5916607429023366,2.29,0.02,0.11548556430446194,0.6475,0.10733830456974332,0.42,0.83,0.5223097112860893,0.4215577889447237,0.22240441239703948,0.02,1.25,0.2755905511811024,0.5384615384615384,0.36182022117666945,0.2,1.5333333333333334,1.0482857142857143,0.27584296376623546,0.24,1.96,0.2572178477690289,0.5444444444444446,0.29038076323048845,0.26666666666666666,1.2,1.326938775510204,0.6850305255645079,0.21,3.19,0.08398950131233596,0.19125,0.14114165842137283,0.01,0.42,1.0,0.038635170603674544,0.08146181360344823,0.01,0.45,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,1.0066666666666668,0.14500000000000002,0.75,1.21
2020-01-31T17-10-26-687Z42-reverse_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525597269624573,0.6166666666666667,0.5997684738482194,0.13333333333333333,2.1333333333333333,1.1013513513513513,0.32309854438191227,0.26,1.72,0.05460750853242321,0.35555555555555557,0.08314794192830982,0.26666666666666666,0.4666666666666667,0.8225,0.5102483055663519,0.24,1.64,0.0,0.0,0.0,0.0,0.0,0.8907849829351536,0.03521072796934866,0.07288329475057215,0.01,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15T17%3A39%3A11.581Z_QtugWUptK8XEV3yOzVKWRJKTxYC2_reverse_count,1,0.08670520231213873,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.023121387283236993,1.0,0.025,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09826589595375723,0.37777777777777777,0.27397395568751004,0.06666666666666667,0.7333333333333333,0.49235294117647055,0.18859776681355167,0.13,0.76,0.09826589595375723,0.5666666666666667,0.23333333333333336,0.3333333333333333,0.8,0.41882352941176465,0.19801775024417562,0.09,0.77,0.24277456647398843,0.7047619047619049,0.2622253554672811,0.24,1.12,1.0,0.0645664739884393,0.2004398141638278,0.01,1.39,0.0,0.0,0.0,0.0,0.0,0.9710982658959537,3.297797619047619,0.5771034689607338,1.01,4.04
2022-09-23T18%3A43%3A55.114Z_NIHCD945KARA4_reverse_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860103626943006,0.5199415204678363,0.09532913310657472,0.29,0.69,0.10362694300518134,0.05,0.03741657386773942,0.01,0.13,0.025906735751295335,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.718,0.03346640106136302,0.68,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29533678756476683,0.0863157894736842,0.16335359958152304,0.01,0.64,1.0,1.2404663212435232,0.19193990529655477,0.75,1.57,1.0,2.7748186528497407,0.2088288106326783,2.01,3.19
2020-02-03T20-36-04-971Z66-reverse_count,4,0.24,0.8933333333333333,0.3172100600898752,0.4,1.2666666666666666,3.05,1.8710513978331365,0.5333333333333333,5.8,0.26799999999999996,1.25,1.0562686567164181,0.7989440679419828,2.96,0.02,0.0,0.0,0.0,0.0,0.0,0.052,0.8069230769230769,0.13876746829286127,0.47,0.96,0.256,0.5333333333333333,0.5696002496878354,0.06666666666666667,2.0,0.9875,0.3086941261055408,0.27,1.6,0.14,0.5833333333333334,0.3632415786283894,0.26666666666666666,1.2,1.2782857142857142,0.4492378232615098,0.48,2.23,0.036,0.21,0.07566372975210779,0.09,0.32,0.984,0.07040650406504065,0.1693536253125513,0.01,1.01,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
NIHUA375VALXQ-reverse_count-2021-07-23T15-13-33-567Z-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.7275,0.07941752235585584,0.59,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030634920634920636,0.055609294643914044,0.02,0.22,0.023809523809523808,0.49,0.017320508075688787,0.48,0.51,0.5714285714285714,1.908611111111111,0.22102390129854038,1.44,2.23
2020-03-20T16-36-22-518Z20-reverse_count,2,0.09523809523809523,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,16.733333333333334,0.0,16.733333333333334,16.733333333333334,0.025396825396825397,1.0,0.5674999999999999,0.47700703798341826,1.13,0.05,0.015873015873015872,1.866,0.7905251419151703,0.74,2.67,0.26031746031746034,0.6279268292682928,0.508191511011249,0.07,2.59,0.2,0.4666666666666667,0.20123078084749815,0.2,0.9333333333333333,0.9482539682539682,0.3914429043462549,0.08,1.63,0.13968253968253969,0.48888888888888893,0.2096440251568134,0.26666666666666666,0.8,1.690681818181818,0.747937933400809,0.06,3.22,0.0,0.0,0.0,0.0,0.0,0.9015873015873016,0.05732394366197182,0.11308032413890931,0.01,0.64,0.765079365079365,0.9404564315352697,0.21710452352621842,0.57,2.61,0.9428571428571428,1.35996632996633,0.30053274579474915,0.53,2.63
